x-axis,1,2,3
second,Volt,Volt,Volt
-25.00000E-06,+18.29145742953E+00,+10.85427144170E+00,+23.31658309698E+00
-24.97500E-06,+18.14070365950E+00,+10.70351767167E+00,+23.11557807028E+00
-24.95000E-06,+18.29145742953E+00,+10.75376892835E+00,+23.11557807028E+00
-24.92500E-06,+18.09045240283E+00,+10.65326641500E+00,+23.31658309698E+00
-24.90000E-06,+18.29145742953E+00,+10.65326641500E+00,+23.31658309698E+00
-24.87500E-06,+18.14070365951E+00,+10.65326641500E+00,+23.11557807028E+00
-24.85000E-06,+18.19095491618E+00,+10.75376892835E+00,+23.11557807028E+00
-24.82500E-06,+18.09045240283E+00,+10.85427144170E+00,+23.31658309698E+00
-24.80000E-06,+18.29145742953E+00,+10.85427144170E+00,+23.11557807028E+00
-24.77500E-06,+18.09045240283E+00,+10.65326641500E+00,+23.31658309698E+00
-24.75000E-06,+18.29145742953E+00,+10.65326641500E+00,+23.21608058363E+00
-24.72500E-06,+18.29145742953E+00,+10.80402018503E+00,+23.31658309698E+00
-24.70000E-06,+18.09045240283E+00,+10.65326641500E+00,+23.31658309698E+00
-24.67500E-06,+18.29145742953E+00,+10.85427144170E+00,+23.11557807028E+00
-24.65000E-06,+18.29145742953E+00,+10.75376892835E+00,+23.31658309698E+00
-24.62500E-06,+18.09045240283E+00,+10.80402018503E+00,+23.11557807028E+00
-24.60000E-06,+18.29145742953E+00,+10.65326641500E+00,+23.11557807029E+00
-24.57500E-06,+18.09045240283E+00,+10.65326641500E+00,+23.11557807028E+00
-24.55000E-06,+18.19095491618E+00,+10.85427144170E+00,+23.11557807028E+00
-24.52500E-06,+18.29145742953E+00,+10.85427144170E+00,+23.31658309698E+00
-24.50000E-06,+18.29145742953E+00,+10.85427144170E+00,+23.31658309698E+00
-24.47500E-06,+18.14070365951E+00,+10.70351767168E+00,+23.26633184030E+00
-24.45000E-06,+18.29145742953E+00,+10.85427144170E+00,+23.11557807028E+00
-24.42500E-06,+18.09045240283E+00,+10.85427144170E+00,+23.26633184031E+00
