x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-06,+11.25628149509E+00,+23.71859315038E+00,+402.01004595E-03,+418.09044778E-03
-49.95000E-06,+11.25628149509E+00,+23.41708561033E+00,+402.01004595E-03,+426.13064870E-03
-49.90000E-06,+11.25628149509E+00,+23.51758812368E+00,+402.01004595E-03,+426.13064870E-03
-49.85000E-06,+11.40703526512E+00,+23.71859315038E+00,+432.16079939E-03,+426.13064870E-03
-49.80000E-06,+11.25628149510E+00,+23.71859315038E+00,+402.01004595E-03,+434.17084962E-03
-49.75000E-06,+11.25628149509E+00,+23.31658309698E+00,+432.16079939E-03,+434.17084962E-03
-49.70000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+442.21105054E-03
-49.65000E-06,+11.25628149509E+00,+23.61809063703E+00,+412.06029709E-03,+450.25125146E-03
-49.60000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+458.29145238E-03
-49.55000E-06,+11.25628149509E+00,+23.41708561033E+00,+442.21105054E-03,+458.29145238E-03
-49.50000E-06,+11.25628149509E+00,+23.71859315038E+00,+422.11054824E-03,+462.31155284E-03
-49.45000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+464.32160307E-03
-49.40000E-06,+11.25628149509E+00,+23.71859315037E+00,+442.21105054E-03,+466.33165330E-03
-49.35000E-06,+11.25628149509E+00,+23.61809063702E+00,+442.21105054E-03,+474.37185422E-03
-49.30000E-06,+11.35678400845E+00,+23.51758812368E+00,+442.21105054E-03,+474.37185422E-03
-49.25000E-06,+11.10552772507E+00,+23.41708561033E+00,+442.21105054E-03,+474.37185422E-03
-49.20000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+482.41205513E-03
-49.15000E-06,+11.45728652179E+00,+23.71859315038E+00,+442.21105054E-03,+482.41205513E-03
-49.10000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+486.43215559E-03
-49.05000E-06,+11.30653275177E+00,+23.71859315038E+00,+442.21105054E-03,+490.45225605E-03
-49.00000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+490.45225605E-03
-48.95000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+498.49245697E-03
-48.90000E-06,+11.25628149509E+00,+23.71859315038E+00,+462.31155284E-03,+510.55275835E-03
-48.85000E-06,+11.25628149509E+00,+23.71859315038E+00,+482.41205513E-03,+506.53265789E-03
-48.80000E-06,+11.25628149509E+00,+23.71859315037E+00,+482.41205513E-03,+506.53265789E-03
-48.75000E-06,+11.25628149509E+00,+23.71859315038E+00,+482.41205513E-03,+504.52260766E-03
-48.70000E-06,+11.25628149509E+00,+23.51758812369E+00,+482.41205513E-03,+514.57285881E-03
-48.65000E-06,+11.25628149509E+00,+23.71859315038E+00,+482.41205513E-03,+508.54270812E-03
-48.60000E-06,+11.25628149510E+00,+23.31658309698E+00,+482.41205513E-03,+514.57285881E-03
-48.55000E-06,+11.25628149509E+00,+23.71859315038E+00,+442.21105054E-03,+514.57285881E-03
-48.50000E-06,+11.25628149509E+00,+23.51758812367E+00,+502.51255743E-03,+530.65326065E-03
-48.45000E-06,+11.25628149509E+00,+23.61809063704E+00,+482.41205513E-03,+522.61305973E-03
-48.40000E-06,+11.25628149509E+00,+23.31658309699E+00,+482.41205514E-03,+530.65326065E-03
-48.35000E-06,+11.25628149509E+00,+23.31658309698E+00,+482.41205513E-03,+530.65326065E-03
-48.30000E-06,+11.25628149509E+00,+23.51758812367E+00,+502.51255743E-03,+530.65326065E-03
