x-axis,1,2,3
second,Volt,Volt,Volt
-25.00000E-06,+17.88944737613E+00,+10.85427144170E+00,+733.16582665E-03
-24.97500E-06,+17.88944737613E+00,+10.45226138830E+00,+733.16582665E-03
-24.95000E-06,+17.88944737613E+00,+10.45226138830E+00,+733.16582665E-03
-24.92500E-06,+17.68844234943E+00,+10.45226138830E+00,+733.16582665E-03
-24.90000E-06,+17.68844234943E+00,+402.01005340E-03,+757.28642941E-03
-24.87500E-06,+17.88944737613E+00,-402.01005340E-03,+753.26632895E-03
-24.85000E-06,+17.78894486278E+00,-402.01005340E-03,+733.16582665E-03
-24.82500E-06,+17.88944737613E+00,-402.01005340E-03,+725.12562573E-03
-24.80000E-06,+17.88944737613E+00,+0.0E+00,+725.12562573E-03
-24.77500E-06,+17.88944737613E+00,-402.01005340E-03,+725.12562573E-03
-24.75000E-06,+17.78894486278E+00,-402.01005340E-03,+725.12562573E-03
-24.72500E-06,+17.88944737613E+00,-402.01005340E-03,+725.12562573E-03
-24.70000E-06,+17.88944737613E+00,-402.01005340E-03,+725.12562573E-03
-24.67500E-06,+17.88944737613E+00,-402.01005340E-03,+725.12562573E-03
-24.65000E-06,+17.48743732274E+00,-402.01005340E-03,+773.36683124E-03
-24.62500E-06,+17.63819109276E+00,-703.51759345E-03,+847.73868974E-03
-24.60000E-06,+17.68844234943E+00,-402.01005340E-03,+765.32663032E-03
-24.57500E-06,+20.15075392649E+00,-100.50251335E-03,+624.62311424E-03
-24.55000E-06,+15.47738705576E+00,-603.01508009E-03,+612.56281286E-03
-24.52500E-06,+19.79899512977E+00,-402.01005340E-03,+610.55276263E-03
-24.50000E-06,+18.09045240284E+00,-402.01005340E-03,+684.92462113E-03
-24.47500E-06,+19.04522627964E+00,-402.01005340E-03,+713.06532435E-03
-24.45000E-06,+19.49748758972E+00,-603.01508010E-03,+765.32663032E-03
-24.42500E-06,+17.88944737613E+00,-402.01005340E-03,+775.37688147E-03
-24.40000E-06,+19.29648256302E+00,-402.01005340E-03,+725.12562573E-03
-24.37500E-06,+17.88944737613E+00,-402.01005340E-03,+684.92462113E-03
-24.35000E-06,+18.19095491618E+00,-402.01005340E-03,+729.14572619E-03
-24.32500E-06,+18.29145742953E+00,-402.01005340E-03,+749.24622849E-03
-24.30000E-06,+17.68844234943E+00,-402.01005340E-03,+741.20602757E-03
-24.27500E-06,+18.29145742953E+00,-402.01005340E-03,+735.17587688E-03
-24.25000E-06,+17.68844234943E+00,-402.01005340E-03,+725.12562573E-03
-24.22500E-06,+17.88944737613E+00,-402.01005340E-03,+735.17587688E-03
-24.20000E-06,+17.68844234943E+00,-402.01005340E-03,+741.20602757E-03
-24.17500E-06,+17.53768857942E+00,-402.01005340E-03,+733.16582665E-03
-24.15000E-06,+17.98994988948E+00,-402.01005340E-03,+733.16582665E-03
-24.12500E-06,+17.88944737613E+00,-402.01005340E-03,+733.16582665E-03
-24.10000E-06,+17.68844234944E+00,-402.01005340E-03,+733.16582665E-03
-24.07500E-06,+17.68844234943E+00,-402.01005340E-03,+733.16582665E-03
-24.05000E-06,+17.78894486278E+00,-402.01005340E-03,+733.16582665E-03
-24.02500E-06,+17.83919611946E+00,-402.01005340E-03,+733.16582665E-03
-24.00000E-06,+17.68844234943E+00,-402.01005338E-03,+733.16582665E-03
-23.97500E-06,+17.88944737613E+00,-402.01005340E-03,+741.20602757E-03
-23.95000E-06,+17.88944737613E+00,-402.01005340E-03,+741.20602757E-03
-23.92500E-06,+17.88944737613E+00,-402.01005340E-03,+727.13567596E-03
-23.90000E-06,+17.88944737613E+00,-402.01005340E-03,+741.20602757E-03
-23.87500E-06,+17.88944737613E+00,-804.02010679E-03,+741.20602757E-03
-23.85000E-06,+17.88944737613E+00,-402.01005340E-03,+733.16582665E-03
-23.82500E-06,+17.88944737613E+00,-402.01005340E-03,+741.20602757E-03
-23.80000E-06,+17.88944737613E+00,-402.01005340E-03,+741.20602757E-03
-23.77500E-06,+17.88944737613E+00,-402.01005340E-03,+741.20602757E-03
-23.75000E-06,+17.88944737613E+00,-402.01005340E-03,+745.22612803E-03
-23.72500E-06,+17.88944737613E+00,-703.51759346E-03,+743.21607780E-03
-23.70000E-06,+17.88944737613E+00,-402.01005340E-03,+749.24622849E-03
-23.67500E-06,+17.88944737613E+00,-402.01005340E-03,+749.24622849E-03
-23.65000E-06,+17.88944737613E+00,-402.01005340E-03,+741.20602757E-03
-23.62500E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.60000E-06,+17.88944737613E+00,-402.01005338E-03,+749.24622849E-03
-23.57500E-06,+17.93969863282E+00,-703.51759343E-03,+751.25627872E-03
-23.55000E-06,+17.68844234943E+00,-402.01005340E-03,+749.24622849E-03
-23.52500E-06,+17.88944737613E+00,-301.50754006E-03,+755.27637918E-03
-23.50000E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.47500E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.45000E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.42500E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.40000E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.37500E-06,+17.88944737613E+00,-804.02010679E-03,+763.31658009E-03
-23.35000E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.32500E-06,+17.88944737613E+00,-402.01005340E-03,+765.32663032E-03
-23.30000E-06,+17.88944737613E+00,-402.01005340E-03,+757.28642941E-03
-23.27500E-06,+17.73869360612E+00,-402.01005340E-03,+759.29647964E-03
-23.25000E-06,+17.88944737613E+00,-402.01005340E-03,+769.34673078E-03
-23.22500E-06,+17.88944737613E+00,-804.02010679E-03,+773.36683124E-03
-23.20000E-06,+17.88944737614E+00,-402.01005340E-03,+773.36683124E-03
-23.17500E-06,+17.88944737613E+00,-402.01005340E-03,+755.27637918E-03
-23.15000E-06,+17.88944737613E+00,-402.01005340E-03,+769.34673078E-03
-23.12500E-06,+17.88944737613E+00,-402.01005340E-03,+781.40703216E-03
-23.10000E-06,+17.88944737613E+00,-402.01005340E-03,+773.36683124E-03
-23.07500E-06,+17.88944737613E+00,-402.01005340E-03,+767.33668055E-03
-23.05000E-06,+17.88944737613E+00,-402.01005340E-03,+765.32663032E-03
-23.02500E-06,+17.88944737613E+00,-402.01005340E-03,+773.36683124E-03
-23.00000E-06,+17.88944737613E+00,-402.01005340E-03,+773.36683124E-03
-22.97500E-06,+17.68844234943E+00,-402.01005340E-03,+775.37688147E-03
-22.95000E-06,+17.98994988947E+00,-402.01005340E-03,+773.36683124E-03
-22.92500E-06,+17.88944737613E+00,-402.01005340E-03,+781.40703216E-03
-22.90000E-06,+17.88944737612E+00,-402.01005340E-03,+781.40703216E-03
-22.87500E-06,+17.88944737613E+00,-402.01005340E-03,+781.40703216E-03
-22.85000E-06,+17.88944737613E+00,-402.01005340E-03,+781.40703216E-03
-22.82500E-06,+17.88944737613E+00,-402.01005340E-03,+781.40703216E-03
-22.80000E-06,+17.88944737613E+00,-402.01005342E-03,+781.40703216E-03
-22.77500E-06,+17.73869360612E+00,-402.01005340E-03,+781.40703216E-03
-22.75000E-06,+17.88944737613E+00,-402.01005340E-03,+785.42713262E-03
-22.72500E-06,+17.88944737613E+00,-402.01005340E-03,+787.43718285E-03
-22.70000E-06,+17.88944737612E+00,-402.01005340E-03,+797.48743400E-03
-22.67500E-06,+17.88944737613E+00,-402.01005340E-03,+789.44723308E-03
-22.65000E-06,+17.88944737613E+00,-402.01005340E-03,+789.44723308E-03
-22.62500E-06,+17.73869360609E+00,-402.01005340E-03,+789.44723308E-03
-22.60000E-06,+17.88944737613E+00,-402.01005340E-03,+789.44723308E-03
-22.57500E-06,+17.88944737613E+00,-402.01005340E-03,+795.47738377E-03
-22.55000E-06,+17.88944737613E+00,-402.01005340E-03,+797.48743400E-03
-22.52500E-06,+17.88944737613E+00,-402.01005340E-03,+797.48743400E-03
-22.50000E-06,+17.88944737613E+00,-30E-12,+797.48743400E-03
-22.47500E-06,+17.88944737613E+00,-402.01005340E-03,+803.51758469E-03
-22.45000E-06,+17.88944737613E+00,-402.01005340E-03,+801.50753446E-03
-22.42500E-06,+17.88944737613E+00,-402.01005340E-03,+797.48743400E-03
-22.40000E-06,+18.09045240281E+00,-402.01005340E-03,+797.48743400E-03
-22.37500E-06,+17.88944737613E+00,-402.01005340E-03,+805.52763492E-03
-22.35000E-06,+17.88944737613E+00,-402.01005340E-03,+805.52763492E-03
-22.32500E-06,+17.88944737613E+00,-402.01005340E-03,+805.52763492E-03
-22.30000E-06,+17.88944737613E+00,-402.01005340E-03,+805.52763492E-03
-22.27500E-06,+17.88944737613E+00,-402.01005340E-03,+811.55778561E-03
-22.25000E-06,+17.78894486280E+00,-402.01005340E-03,+809.54773538E-03
-22.22500E-06,+17.88944737613E+00,-402.01005340E-03,+813.56783584E-03
-22.20000E-06,+17.68844234945E+00,-402.01005340E-03,+805.52763492E-03
-22.17500E-06,+17.88944737613E+00,-402.01005340E-03,+813.56783584E-03
-22.15000E-06,+17.88944737613E+00,-402.01005340E-03,+813.56783584E-03
-22.12500E-06,+17.88944737613E+00,-402.01005340E-03,+813.56783584E-03
-22.10000E-06,+17.88944737613E+00,-402.01005340E-03,+813.56783584E-03
-22.07500E-06,+17.88944737613E+00,-402.01005340E-03,+819.59798653E-03
-22.05000E-06,+17.88944737613E+00,-804.02010679E-03,+813.56783584E-03
-22.02500E-06,+17.88944737613E+00,-402.01005340E-03,+815.57788607E-03
-22.00000E-06,+17.88944737613E+00,-402.01005340E-03,+821.60803676E-03
-21.97500E-06,+17.88944737613E+00,-402.01005340E-03,+813.56783584E-03
-21.95000E-06,+17.88944737613E+00,-402.01005340E-03,+821.60803676E-03
-21.92500E-06,+17.88944737613E+00,-402.01005340E-03,+827.63818745E-03
-21.90000E-06,+17.88944737613E+00,-402.01005340E-03,+829.64823768E-03
-21.87500E-06,+17.88944737613E+00,-402.01005340E-03,+809.54773538E-03
-21.85000E-06,+17.88944737613E+00,-402.01005340E-03,+829.64823768E-03
-21.82500E-06,+17.68844234943E+00,-402.01005340E-03,+821.60803676E-03
-21.80000E-06,+18.09045240281E+00,-402.01005340E-03,+821.60803676E-03
-21.77500E-06,+17.88944737613E+00,-402.01005340E-03,+829.64823768E-03
-21.75000E-06,+17.88944737613E+00,-402.01005340E-03,+829.64823768E-03
-21.72500E-06,+17.88944737613E+00,-402.01005340E-03,+835.67838837E-03
-21.70000E-06,+17.88944737613E+00,-402.01005340E-03,+829.64823768E-03
-21.67500E-06,+17.88944737613E+00,-402.01005340E-03,+829.64823768E-03
-21.65000E-06,+17.88944737613E+00,-402.01005340E-03,+837.68843859E-03
-21.62500E-06,+17.88944737613E+00,-402.01005340E-03,+829.64823768E-03
-21.60000E-06,+18.09045240281E+00,-402.01005340E-03,+829.64823768E-03
-21.57500E-06,+17.88944737613E+00,-402.01005340E-03,+837.68843859E-03
-21.55000E-06,+17.88944737613E+00,-402.01005340E-03,+845.72863951E-03
-21.52500E-06,+17.88944737613E+00,-402.01005340E-03,+843.71858928E-03
-21.50000E-06,+17.88944737613E+00,-402.01005340E-03,+837.68843860E-03
-21.47500E-06,+17.83919611944E+00,-402.01005340E-03,+837.68843859E-03
-21.45000E-06,+17.88944737613E+00,-402.01005340E-03,+845.72863951E-03
-21.42500E-06,+17.68844234943E+00,-402.01005340E-03,+845.72863951E-03
-21.40000E-06,+17.88944737613E+00,-402.01005335E-03,+845.72863951E-03
-21.37500E-06,+17.83919611944E+00,-100.50251339E-03,+847.73868974E-03
-21.35000E-06,+17.88944737613E+00,-402.01005340E-03,+845.72863951E-03
-21.32500E-06,+17.88944737613E+00,-402.01005340E-03,+847.73868974E-03
-21.30000E-06,+17.88944737613E+00,-402.01005340E-03,+853.76884043E-03
-21.27500E-06,+17.88944737613E+00,-402.01005340E-03,+853.76884043E-03
-21.25000E-06,+17.88944737613E+00,-402.01005340E-03,+845.72863951E-03
-21.22500E-06,+17.88944737613E+00,-402.01005340E-03,+853.76884043E-03
-21.20000E-06,+17.88944737613E+00,-402.01005340E-03,+845.72863951E-03
-21.17500E-06,+17.88944737613E+00,-402.01005340E-03,+853.76884043E-03
-21.15000E-06,+17.88944737613E+00,-402.01005340E-03,+853.76884043E-03
-21.12500E-06,+17.88944737613E+00,-402.01005340E-03,+853.76884043E-03
-21.10000E-06,+17.88944737613E+00,-402.01005340E-03,+861.80904135E-03
-21.07500E-06,+17.88944737613E+00,-301.50754000E-03,+861.80904135E-03
-21.05000E-06,+17.88944737613E+00,-402.01005340E-03,+861.80904135E-03
-21.02500E-06,+17.88944737613E+00,-402.01005340E-03,+861.80904135E-03
-21.00000E-06,+17.88944737613E+00,-402.01005340E-03,+861.80904135E-03
-20.97500E-06,+17.88944737613E+00,-301.50754000E-03,+861.80904135E-03
-20.95000E-06,+17.88944737613E+00,-402.01005340E-03,+865.82914181E-03
-20.92500E-06,+17.88944737613E+00,-402.01005340E-03,+861.80904135E-03
-20.90000E-06,+17.88944737613E+00,-402.01005340E-03,+869.84924227E-03
-20.87500E-06,+17.68844234943E+00,-402.01005340E-03,+867.83919204E-03
-20.85000E-06,+17.88944737613E+00,-402.01005340E-03,+869.84924227E-03
-20.82500E-06,+17.88944737613E+00,-402.01005340E-03,+869.84924227E-03
-20.80000E-06,+17.88944737613E+00,-402.01005340E-03,+869.84924227E-03
-20.77500E-06,+17.88944737613E+00,-402.01005340E-03,+869.84924227E-03
-20.75000E-06,+17.88944737613E+00,-402.01005340E-03,+869.84924227E-03
-20.72500E-06,+17.88944737613E+00,-402.01005340E-03,+869.84924227E-03
-20.70000E-06,+17.88944737613E+00,-402.01005340E-03,+877.88944319E-03
-20.67500E-06,+17.73869360613E+00,-402.01005340E-03,+869.84924227E-03
-20.65000E-06,+17.88944737613E+00,-402.01005340E-03,+877.88944319E-03
-20.62500E-06,+17.68844234943E+00,-804.02010679E-03,+877.88944319E-03
-20.60000E-06,+17.68844234943E+00,-402.01005340E-03,+877.88944319E-03
-20.57500E-06,+17.88944737613E+00,-402.01005340E-03,+877.88944319E-03
-20.55000E-06,+17.88944737613E+00,-201.00502664E-03,+881.90954365E-03
-20.52500E-06,+17.88944737613E+00,-402.01005340E-03,+883.91959388E-03
-20.50000E-06,+17.88944737610E+00,-402.01005340E-03,+893.96984503E-03
-20.47500E-06,+17.88944737613E+00,-402.01005340E-03,+877.88944319E-03
-20.45000E-06,+17.98994988951E+00,-402.01005340E-03,+877.88944319E-03
-20.42500E-06,+17.88944737613E+00,-402.01005340E-03,+887.93969434E-03
-20.40000E-06,+17.88944737613E+00,-402.01005340E-03,+893.96984503E-03
-20.37500E-06,+17.88944737613E+00,-402.01005340E-03,+887.93969434E-03
-20.35000E-06,+17.88944737613E+00,-402.01005340E-03,+885.92964411E-03
-20.32500E-06,+17.88944737613E+00,-703.51759350E-03,+887.93969434E-03
-20.30000E-06,+17.88944737613E+00,-402.01005340E-03,+893.96984503E-03
-20.27500E-06,+17.88944737613E+00,-402.01005340E-03,+893.96984503E-03
-20.25000E-06,+17.88944737613E+00,-402.01005340E-03,+893.96984503E-03
-20.22500E-06,+17.88944737613E+00,-402.01005340E-03,+893.96984503E-03
-20.20000E-06,+17.88944737613E+00,-402.01005340E-03,+893.96984503E-03
-20.17500E-06,+17.88944737613E+00,-402.01005340E-03,+893.96984503E-03
-20.15000E-06,+18.09045240283E+00,-804.02010679E-03,+902.01004595E-03
-20.12500E-06,+17.88944737613E+00,-402.01005340E-03,+902.01004595E-03
-20.10000E-06,+17.88944737616E+00,-402.01005340E-03,+902.01004595E-03
-20.07500E-06,+17.88944737613E+00,-402.01005340E-03,+902.01004595E-03
-20.05000E-06,+17.88944737613E+00,-402.01005340E-03,+902.01004595E-03
-20.02500E-06,+17.88944737613E+00,-402.01005340E-03,+908.04019664E-03
-20.00000E-06,+17.88944737613E+00,-402.01005340E-03,+910.05024686E-03
-19.97500E-06,+17.88944737613E+00,-402.01005340E-03,+902.01004595E-03
-19.95000E-06,+17.88944737613E+00,-402.01005340E-03,+902.01004595E-03
-19.92500E-06,+17.88944737613E+00,-402.01005340E-03,+910.05024686E-03
-19.90000E-06,+17.88944737613E+00,-402.01005340E-03,+910.05024686E-03
-19.87500E-06,+18.09045240283E+00,-703.51759338E-03,+910.05024686E-03
-19.85000E-06,+17.88944737613E+00,-402.01005340E-03,+918.09044778E-03
-19.82500E-06,+17.88944737613E+00,-100.50251329E-03,+918.09044778E-03
-19.80000E-06,+17.88944737613E+00,-402.01005340E-03,+910.05024687E-03
-19.77500E-06,+17.88944737613E+00,-402.01005340E-03,+916.08039755E-03
-19.75000E-06,+17.88944737613E+00,-402.01005340E-03,+918.09044778E-03
-19.72500E-06,+17.88944737613E+00,-402.01005340E-03,+918.09044778E-03
-19.70000E-06,+17.88944737613E+00,-402.01005340E-03,+926.13064870E-03
-19.67500E-06,+17.88944737613E+00,-402.01005340E-03,+918.09044778E-03
-19.65000E-06,+17.88944737613E+00,-402.01005340E-03,+918.09044778E-03
-19.62500E-06,+17.88944737613E+00,-402.01005340E-03,+918.09044778E-03
-19.60000E-06,+17.88944737613E+00,-402.01005340E-03,+926.13064870E-03
-19.57500E-06,+17.88944737613E+00,-402.01005340E-03,+926.13064870E-03
-19.55000E-06,+17.78894486282E+00,-402.01005340E-03,+926.13064870E-03
-19.52500E-06,+17.73869360607E+00,-301.50754011E-03,+926.13064870E-03
-19.50000E-06,+17.88944737613E+00,-70E-12,+926.13064870E-03
-19.47500E-06,+17.88944737613E+00,-402.01005340E-03,+928.14069893E-03
-19.45000E-06,+17.88944737613E+00,-402.01005340E-03,+926.13064870E-03
-19.42500E-06,+17.88944737613E+00,-402.01005340E-03,+926.13064870E-03
-19.40000E-06,+17.88944737613E+00,-402.01005340E-03,+926.13064870E-03
-19.37500E-06,+17.88944737613E+00,-402.01005340E-03,+942.21105054E-03
-19.35000E-06,+17.88944737613E+00,-402.01005340E-03,+934.17084962E-03
-19.32500E-06,+17.88944737613E+00,-703.51759351E-03,+934.17084962E-03
-19.30000E-06,+17.88944737613E+00,-402.01005340E-03,+934.17084962E-03
-19.27500E-06,+17.88944737613E+00,-402.01005340E-03,+942.21105054E-03
-19.25000E-06,+17.88944737613E+00,-402.01005340E-03,+942.21105054E-03
-19.22500E-06,+17.68844234943E+00,-402.01005340E-03,+942.21105054E-03
-19.20000E-06,+17.88944737613E+00,-402.01005340E-03,+942.21105054E-03
-19.17500E-06,+17.88944737613E+00,-402.01005340E-03,+942.21105054E-03
-19.15000E-06,+17.88944737613E+00,-201.00502663E-03,+946.23115100E-03
-19.12500E-06,+17.88944737613E+00,-402.01005340E-03,+944.22110077E-03
-19.10000E-06,+17.88944737613E+00,-402.01005340E-03,+942.21105054E-03
-19.07500E-06,+17.88944737613E+00,-402.01005340E-03,+948.24120123E-03
-19.05000E-06,+17.88944737613E+00,-402.01005340E-03,+950.25125146E-03
-19.02500E-06,+17.88944737613E+00,-100.50251328E-03,+950.25125146E-03
-19.00000E-06,+17.88944737613E+00,-402.01005340E-03,+950.25125146E-03
-18.97500E-06,+17.88944737613E+00,-402.01005340E-03,+948.24120123E-03
-18.95000E-06,+17.88944737613E+00,-402.01005340E-03,+950.25125146E-03
-18.92500E-06,+17.88944737613E+00,-402.01005340E-03,+950.25125146E-03
-18.90000E-06,+17.68844234943E+00,-402.01005340E-03,+950.25125146E-03
-18.87500E-06,+17.88944737613E+00,-402.01005340E-03,+950.25125146E-03
-18.85000E-06,+17.88944737613E+00,-402.01005340E-03,+958.29145238E-03
-18.82500E-06,+17.88944737613E+00,-402.01005340E-03,+958.29145238E-03
