x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-36.50000E-06,+201.00502670E-03,+5.02512566745E+00,+514.57285881E-03,+12.06030138E-03
-36.46350E-06,+201.00502670E-03,+5.02512566745E+00,+514.57285881E-03,+10.38525952E-03
-36.42700E-06,+0.0E+00,+5.02512566745E+00,+514.57285881E-03,+15.41038509E-03
-36.39050E-06,+0.0E+00,+5.02512566745E+00,+514.57285881E-03,+11.05527626E-03
-36.35400E-06,+0.0E+00,+5.02512566745E+00,+506.53265789E-03,+29.48073670E-03
-36.31750E-06,+0.0E+00,+5.02512566745E+00,+506.53265789E-03,+28.14070322E-03
-36.28100E-06,+0.0E+00,+4.92462315410E+00,+510.55275835E-03,+12.06030138E-03
-36.24450E-06,+0.0E+00,+4.84087105965E+00,+507.20267463E-03,+12.06030138E-03
-36.20800E-06,+67.00167556E-03,+4.95812399189E+00,+506.53265789E-03,+12.06030138E-03
-36.17150E-06,+50.25125668E-03,+5.02512566745E+00,+502.51255743E-03,+8.04020092E-03
-36.13500E-06,+201.00502670E-03,+5.05862650523E+00,+506.53265789E-03,+12.06030138E-03
-36.09850E-06,+0.0E+00,+5.02512566745E+00,+506.53265789E-03,+9.71524278E-03
-36.06200E-06,+0.0E+00,+5.02512566745E+00,+506.53265789E-03,+12.06030138E-03
-36.02550E-06,+117.25293224E-03,+4.94137357300E+00,+501.84254069E-03,+10.38525952E-03
-35.98900E-06,+0.0E+00,+5.02512566745E+00,+499.83249046E-03,+8.71021766E-03
-35.95250E-06,+0.0E+00,+4.87437189743E+00,+506.53265789E-03,+12.06030138E-03
-35.91600E-06,+67.00167557E-03,+5.02512566745E+00,+506.53265789E-03,+12.06030138E-03
-35.87950E-06,+201.00502670E-03,+5.00837524856E+00,+498.49245697E-03,+12.06030138E-03
-35.84300E-06,+0.0E+00,+5.02512566745E+00,+498.49245697E-03,+8.04020092E-03
-35.80650E-06,+0.0E+00,+5.04187608635E+00,+498.49245697E-03,+8.04020092E-03
-35.77000E-06,+67.00167556E-03,+4.95812399189E+00,+498.49245697E-03,+12.06030138E-03
-35.73350E-06,+0.0E+00,+5.02512566745E+00,+498.49245697E-03,+8.04020092E-03
-35.69700E-06,+0.0E+00,+5.05862650523E+00,+498.49245697E-03,+12.06030138E-03
-35.66050E-06,+83.75209446E-03,+5.02512566745E+00,+490.45225605E-03,+9.71524278E-03
-35.62400E-06,+0.0E+00,+5.02512566745E+00,+490.45225605E-03,+8.04020092E-03
-35.58750E-06,+83.75209445E-03,+5.02512566745E+00,+490.45225605E-03,+12.06030138E-03
-35.55100E-06,+33.50083779E-03,+5.02512566745E+00,+490.45225605E-03,+11.39028464E-03
-35.51450E-06,+201.00502670E-03,+5.02512566745E+00,+490.45225605E-03,+12.06030138E-03
-35.47800E-06,+134.00335113E-03,+5.02512566745E+00,+490.45225605E-03,+9.38023441E-03
-35.44150E-06,+0.0E+00,+5.02512566745E+00,+483.08207188E-03,+12.06030138E-03
-35.40500E-06,+0.0E+00,+5.02512566745E+00,+482.41205513E-03,+8.04020092E-03
-35.36850E-06,+0.0E+00,+5.02512566745E+00,+482.41205513E-03,+12.06030138E-03
-35.33200E-06,+0.0E+00,+5.02512566745E+00,+482.41205513E-03,+8.04020092E-03
-35.29550E-06,+0.0E+00,+5.17587943747E+00,+482.41205513E-03,+8.04020092E-03
-35.25900E-06,+0.0E+00,+4.85762147853E+00,+475.71188770E-03,+11.39028464E-03
-35.22250E-06,-117.25293223E-03,+5.02512566745E+00,+482.41205513E-03,+10.38525952E-03
-35.18600E-06,+10E-12,+5.02512566745E+00,+474.37185422E-03,+12.06030138E-03
-35.14950E-06,+0.0E+00,+5.02512566745E+00,+477.72193793E-03,+12.06030138E-03
-35.11300E-06,+0.0E+00,+5.02512566745E+00,+475.71188770E-03,+12.06030138E-03
-35.07650E-06,+0.0E+00,+5.02512566745E+00,+476.38190445E-03,+9.04522603E-03
-35.04000E-06,+0.0E+00,+4.82412064075E+00,+474.37185422E-03,+8.04020092E-03
-35.00350E-06,+184.25460781E-03,+4.82412064075E+00,+474.37185422E-03,+7.70519255E-03
-34.96700E-06,+0.0E+00,+4.82412064075E+00,+474.37185422E-03,+6.03015069E-03
-34.93050E-06,+201.00502670E-03,+4.84087105965E+00,+474.37185422E-03,+12.06030138E-03
-34.89400E-06,+0.0E+00,+5.02512566745E+00,+474.37185422E-03,+8.04020092E-03
-34.85750E-06,+50.25125668E-03,+4.97487441077E+00,+474.37185422E-03,+12.06030138E-03
-34.82100E-06,+0.0E+00,+5.02512566745E+00,+467.67168678E-03,+8.04020092E-03
-34.78450E-06,+0.0E+00,+4.94137357299E+00,+471.02177050E-03,+9.71524278E-03
-34.74800E-06,+201.00502669E-03,+5.02512566744E+00,+474.37185422E-03,+8.04020092E-03
-34.71150E-06,+0.0E+00,+5.02512566745E+00,+469.68173701E-03,+8.04020092E-03
-34.67500E-06,-134.00335111E-03,+5.02512566745E+00,+466.33165330E-03,+12.06030138E-03
-34.63850E-06,+150.75377003E-03,+4.82412064075E+00,+472.36180399E-03,+12.06030138E-03
-34.60200E-06,+0.0E+00,+4.89112231633E+00,+466.33165330E-03,+6.70016743E-03
-34.56550E-06,+16.75041888E-03,+5.00837524857E+00,+466.33165330E-03,+8.37520929E-03
-34.52900E-06,+0.0E+00,+5.02512566745E+00,+462.31155284E-03,+4.02010046E-03
-34.49250E-06,+184.25460780E-03,+5.02512566745E+00,+458.96146912E-03,+8.04020092E-03
-34.45600E-06,+0.0E+00,+5.02512566745E+00,+460.97151935E-03,+12.06030138E-03
-34.41950E-06,+0.0E+00,+5.02512566745E+00,+458.29145238E-03,+8.04020092E-03
-34.38300E-06,+0.0E+00,+5.02512566745E+00,+458.29145238E-03,+8.04020092E-03
-34.34650E-06,+0.0E+00,+5.02512566745E+00,+462.98156958E-03,+8.04020092E-03
-34.31000E-06,+0.0E+00,+5.02512566744E+00,+458.29145238E-03,+8.04020092E-03
-34.27350E-06,+0.0E+00,+4.94137357301E+00,+458.29145238E-03,+8.04020092E-03
-34.23700E-06,+0.0E+00,+4.85762147855E+00,+458.29145238E-03,+4.69011720E-03
-34.20050E-06,+0.0E+00,+5.02512566745E+00,+458.29145238E-03,+5.02512557E-03
-34.16400E-06,+0.0E+00,+5.02512566745E+00,+455.61138540E-03,+4.02010046E-03
-34.12750E-06,+184.25460782E-03,+5.02512566745E+00,+450.25125146E-03,+4.02010046E-03
-34.09100E-06,+100.50251334E-03,+5.02512566745E+00,+450.25125146E-03,+4.02010046E-03
-34.05450E-06,+0.0E+00,+5.02512566745E+00,+450.25125146E-03,+8.04020092E-03
-34.01800E-06,+201.00502670E-03,+5.02512566745E+00,+450.25125146E-03,+6.70016743E-03
-33.98150E-06,+0.0E+00,+4.97487441076E+00,+450.25125146E-03,+1.00502512E-03
-33.94500E-06,+0.0E+00,+5.02512566745E+00,+450.25125146E-03,+8.04020092E-03
-33.90850E-06,+0.0E+00,+4.82412064075E+00,+450.25125146E-03,+8.04020092E-03
-33.87200E-06,+0.0E+00,+4.82412064077E+00,+450.25125146E-03,+4.02010046E-03
-33.83550E-06,+0.0E+00,+5.02512566745E+00,+450.25125146E-03,+5.69514232E-03
-33.79900E-06,+201.00502670E-03,+5.02512566745E+00,+450.25125146E-03,+4.02010046E-03
-33.76250E-06,+150.75377004E-03,+5.02512566745E+00,+448.24120123E-03,+7.03517580E-03
-33.72600E-06,+0.0E+00,+4.95812399187E+00,+450.25125146E-03,+8.04020092E-03
-33.68950E-06,+0.0E+00,+5.02512566745E+00,+442.21105054E-03,+0.0E+00
-33.65300E-06,+201.00502670E-03,+4.92462315409E+00,+446.23115100E-03,-6.03015069E-03
-33.61650E-06,+0.0E+00,+5.02512566745E+00,+449.58123472E-03,+16.75041858E-03
-33.58000E-06,+67.00167555E-03,+5.02512566745E+00,+439.53098357E-03,+20.10050230E-03
-33.54350E-06,+50.25125669E-03,+5.02512566745E+00,+442.21105054E-03,+7.03517580E-03
-33.50700E-06,+0.0E+00,+5.02512566745E+00,+442.21105054E-03,+4.69011720E-03
-33.47050E-06,+0.0E+00,+5.02512566745E+00,+438.86096682E-03,+1.67504186E-03
-33.43400E-06,+0.0E+00,+5.02512566744E+00,+442.21105054E-03,+4.02010046E-03
-33.39750E-06,+0.0E+00,+5.02512566745E+00,+437.52093334E-03,+1.67504186E-03
-33.36100E-06,+201.00502670E-03,+5.02512566745E+00,+440.87101705E-03,+0.0E+00
-33.32450E-06,+201.00502670E-03,+4.82412064075E+00,+440.20100031E-03,+4.02010046E-03
-33.28800E-06,+0.0E+00,+4.95812399192E+00,+442.21105054E-03,+4.02010046E-03
-33.25150E-06,+16.75041887E-03,+5.02512566745E+00,+434.17084962E-03,+4.35510883E-03
-33.21500E-06,+0.0E+00,+4.92462315408E+00,+434.17084962E-03,+4.02010046E-03
-33.17850E-06,+201.00502670E-03,+5.02512566745E+00,+434.17084962E-03,+8.04020092E-03
-33.14200E-06,+67.00167555E-03,+4.95812399191E+00,+426.13064870E-03,+4.02010046E-03
-33.10550E-06,+0.0E+00,+4.97487441076E+00,+434.17084962E-03,+5.02512557E-03
-33.06900E-06,+0.0E+00,+4.85762147852E+00,+432.83081614E-03,+4.02010046E-03
-33.03250E-06,+83.75209448E-03,+5.02512566745E+00,+430.82076590E-03,+4.02010046E-03
-32.99600E-06,+0.0E+00,+5.02512566745E+00,+434.17084962E-03,+0.0E+00
-32.95950E-06,+0.0E+00,+4.90787273519E+00,+422.78056499E-03,+0.0E+00
-32.92300E-06,+0.0E+00,+4.82412064075E+00,+426.13064870E-03,+0.0E+00
-32.88650E-06,+0.0E+00,+4.97487441080E+00,+428.14069893E-03,+0.0E+00
-32.85000E-06,+67.00167559E-03,+5.02512566745E+00,+426.13064870E-03,+0.0E+00
-32.81350E-06,+16.75041887E-03,+5.02512566745E+00,+425.46063196E-03,+0.0E+00
-32.77700E-06,+100.50251333E-03,+4.92462315412E+00,+422.11054824E-03,+4.02010046E-03
-32.74050E-06,+0.0E+00,+5.02512566745E+00,+425.46063196E-03,+0.0E+00
-32.70400E-06,+0.0E+00,+4.89112231630E+00,+426.13064870E-03,+0.0E+00
-32.66750E-06,+0.0E+00,+4.82412064075E+00,+418.09044778E-03,+0.0E+00
-32.63100E-06,+0.0E+00,+4.82412064075E+00,+424.79061522E-03,+0.0E+00
-32.59450E-06,+0.0E+00,+4.82412064075E+00,+418.09044778E-03,+0.0E+00
-32.55800E-06,+0.0E+00,+4.82412064075E+00,+426.13064870E-03,+0.0E+00
-32.52150E-06,+0.0E+00,+4.82412064075E+00,+418.09044778E-03,+0.0E+00
-32.48500E-06,+0.0E+00,+5.02512566745E+00,+418.09044778E-03,+0.0E+00
-32.44850E-06,+0.0E+00,+5.02512566745E+00,+416.08039755E-03,+0.0E+00
-32.41200E-06,+201.00502670E-03,+5.02512566745E+00,+418.09044778E-03,-4.02010046E-03
-32.37550E-06,+184.25460783E-03,+5.02512566745E+00,+410.05024686E-03,+0.0E+00
-32.33900E-06,+100.50251337E-03,+5.02512566745E+00,+414.07034732E-03,+0.0E+00
